BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9,match,team
Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
Jan Nicol Loftie-Eaton,c †Mendis b Karunaratne,20,12,18,1,2,166.66,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
Gerhard Erasmus (c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,44,4,0,157.14,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
David Wiese,c †Mendis b Theekshana,0,1,4,0,0,0.00,,,Namibia vs Sri Lanka,Namibia
,,,,,,,,,,Namibia vs Sri Lanka,Namibia
JJ Smit,not out,31,16,29,2,2,193.75,,,Namibia vs Sri Lanka,Namibia
Extras,"(b 1, w 9)",10,,,,,,,,Namibia vs Sri Lanka,Namibia
TOTAL,20 Ov (RR: 8.15),163/7,,,,,,,,Namibia vs Sri Lanka,Namibia
"Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo",,Namibia vs Sri Lanka,Namibia
