player,runs,balls,maiden,4s,6s,sr,match,team
Michael van Lingen,3,6,7,0,0,50.00,Namibia vs Sri Lanka,Namibia
Divan la Cock,9,9,15,1,0,100.00,Namibia vs Sri Lanka,Namibia
Jan Nicol Loftie-Eaton,20,12,18,1,2,166.66,Namibia vs Sri Lanka,Namibia
Stephan Baard,26,24,49,2,0,108.33,Namibia vs Sri Lanka,Namibia
Gerhard Erasmus (c),20,24,30,0,0,83.33,Namibia vs Sri Lanka,Namibia
Jan Frylinck,44,28,44,4,0,157.14,Namibia vs Sri Lanka,Namibia
David Wiese,0,1,4,0,0,0.00,Namibia vs Sri Lanka,Namibia
JJ Smit,31,16,29,2,2,193.75,Namibia vs Sri Lanka,Namibia
Pathum Nissanka,9,10,16,1,0,90.00,Namibia vs Sri Lanka,Sri Lanka
Kusal Mendis †,6,6,8,0,0,100.00,Namibia vs Sri Lanka,Sri Lanka
Dhananjaya de Silva,12,11,25,1,0,109.09,Namibia vs Sri Lanka,Sri Lanka
Danushka Gunathilaka,0,1,2,0,0,0.00,Namibia vs Sri Lanka,Sri Lanka
Bhanuka Rajapaksa,20,21,39,2,0,95.23,Namibia vs Sri Lanka,Sri Lanka
Dasun Shanaka (c),29,23,37,2,1,126.08,Namibia vs Sri Lanka,Sri Lanka
Wanindu Hasaranga de Silva,4,8,9,0,0,50.00,Namibia vs Sri Lanka,Sri Lanka
Chamika Karunaratne,5,8,15,0,0,62.50,Namibia vs Sri Lanka,Sri Lanka
Pramod Madushan,0,0,4,0,0,-,Namibia vs Sri Lanka,Sri Lanka
Dushmantha Chameera,8,15,20,0,0,53.33,Namibia vs Sri Lanka,Sri Lanka
Maheesh Theekshana,11,11,14,0,1,100.00,Namibia vs Sri Lanka,Sri Lanka
Chirag Suri,12,20,28,1,0,60.00,United Arab Emirates vs Netherlands,United Arab Emirates
Muhammad Waseem,41,47,71,1,2,87.23,United Arab Emirates vs Netherlands,United Arab Emirates
Kashif Daud,15,14,19,0,1,107.14,United Arab Emirates vs Netherlands,United Arab Emirates
Vriitya Aravind †,18,21,37,0,0,85.71,United Arab Emirates vs Netherlands,United Arab Emirates
Zawar Farid,2,4,8,0,0,50.00,United Arab Emirates vs Netherlands,United Arab Emirates
Basil Hameed,4,4,7,1,0,100.00,United Arab Emirates vs Netherlands,United Arab Emirates
Chundangapoyil Rizwan (c),1,2,7,0,0,50.00,United Arab Emirates vs Netherlands,United Arab Emirates
Aayan Afzal Khan,5,7,8,0,0,71.42,United Arab Emirates vs Netherlands,United Arab Emirates
Karthik Meiyappan,0,0,4,0,0,-,United Arab Emirates vs Netherlands,United Arab Emirates
Junaid Siddique,0,1,1,0,0,0.00,United Arab Emirates vs Netherlands,United Arab Emirates
Vikramjit Singh,10,7,8,2,0,142.85,United Arab Emirates vs Netherlands,Netherlands
Max O'Dowd,23,18,25,3,1,127.77,United Arab Emirates vs Netherlands,Netherlands
Bas de Leede,14,18,37,1,0,77.77,United Arab Emirates vs Netherlands,Netherlands
Colin Ackermann,17,19,33,1,0,89.47,United Arab Emirates vs Netherlands,Netherlands
Tom Cooper,8,16,22,0,0,50.00,United Arab Emirates vs Netherlands,Netherlands
Scott Edwards (c)†,16,19,42,0,0,84.21,United Arab Emirates vs Netherlands,Netherlands
Roelof van der Merwe,0,2,4,0,0,0.00,United Arab Emirates vs Netherlands,Netherlands
Tim Pringle,15,16,26,0,0,93.75,United Arab Emirates vs Netherlands,Netherlands
Logan van Beek,4,4,7,0,0,100.00,United Arab Emirates vs Netherlands,Netherlands
George Munsey,66,53,106,9,0,124.52,Scotland vs West Indies,Scotland
Michael Jones,20,17,36,3,0,117.64,Scotland vs West Indies,Scotland
Matthew Cross †,3,5,10,0,0,60.00,Scotland vs West Indies,Scotland
Richie Berrington (c),16,14,21,0,1,114.28,Scotland vs West Indies,Scotland
Calum MacLeod,23,14,15,4,0,164.28,Scotland vs West Indies,Scotland
Michael Leask,4,6,8,0,0,66.66,Scotland vs West Indies,Scotland
Chris Greaves,16,11,19,2,0,145.45,Scotland vs West Indies,Scotland
Kyle Mayers,20,13,12,3,1,153.84,Scotland vs West Indies,West Indies
Evin Lewis,14,13,30,1,1,107.69,Scotland vs West Indies,West Indies
Brandon King,17,15,24,3,0,113.33,Scotland vs West Indies,West Indies
Nicholas Pooran (c)†,5,9,14,0,0,55.55,Scotland vs West Indies,West Indies
Shamarh Brooks,4,9,24,0,0,44.44,Scotland vs West Indies,West Indies
Rovman Powell,5,6,12,0,0,83.33,Scotland vs West Indies,West Indies
Jason Holder,38,33,37,4,1,115.15,Scotland vs West Indies,West Indies
Akeal Hosein,1,1,4,0,0,100.00,Scotland vs West Indies,West Indies
Alzarri Joseph,0,1,4,0,0,0.00,Scotland vs West Indies,West Indies
Odean Smith,5,8,14,0,0,62.50,Scotland vs West Indies,West Indies
Obed McCoy,2,3,10,0,0,66.66,Scotland vs West Indies,West Indies
Regis Chakabva †,0,2,3,0,0,0.00,Zimbabwe vs Ireland,Zimbabwe
Craig Ervine (c),9,12,28,1,0,75.00,Zimbabwe vs Ireland,Zimbabwe
Wessly Madhevere,22,19,22,4,0,115.78,Zimbabwe vs Ireland,Zimbabwe
Sean Williams,12,11,24,0,1,109.09,Zimbabwe vs Ireland,Zimbabwe
Sikandar Raza,82,48,72,5,5,170.83,Zimbabwe vs Ireland,Zimbabwe
Milton Shumba,16,14,26,1,0,114.28,Zimbabwe vs Ireland,Zimbabwe
Ryan Burl,1,4,9,0,0,25.00,Zimbabwe vs Ireland,Zimbabwe
Luke Jongwe,20,10,14,3,0,200.00,Zimbabwe vs Ireland,Zimbabwe
Paul Stirling,0,2,3,0,0,0.00,Zimbabwe vs Ireland,Ireland
Andy Balbirnie (c),3,4,20,0,0,75.00,Zimbabwe vs Ireland,Ireland
Lorcan Tucker †,11,11,10,2,0,100.00,Zimbabwe vs Ireland,Ireland
Harry Tector,1,4,5,0,0,25.00,Zimbabwe vs Ireland,Ireland
Curtis Campher,27,22,41,1,0,122.72,Zimbabwe vs Ireland,Ireland
George Dockrell,24,20,25,3,0,120.00,Zimbabwe vs Ireland,Ireland
Gareth Delany,24,20,23,1,1,120.00,Zimbabwe vs Ireland,Ireland
Mark Adair,9,10,18,0,1,90.00,Zimbabwe vs Ireland,Ireland
Simi Singh,0,1,1,0,0,0.00,Zimbabwe vs Ireland,Ireland
